NO,TANGGAL REGISTRASI,KODE KLINIK,STATUS,NAMA KLINIK,ALAMAT,KELURAHAN,KECAMATAN,PUSKESMAS,NOMOR IZIN OPERASIONAL KLINIK,TANGGAL IJIN TERBIT,TANGGAL IJIN BERAKHIR,NAMA PENANGGUNGJAWAB,JENIS KLINIK (KECANTIKAN/NON KECANTIKAN),JENIS PELAYANAN,JENIS KLINIK,KAB/KOTA,PROVINSI,"KHUSUS KLINIK YANG DIMILIKI KEMENTERIAN/LEMBAGA, 
ISIKAN DI KOLOM INI DENGAN NAMA KEMENTERIAN/LEMBAGANYA",KERJASAMA BPJS,SURVEI AKREDITASI ,KODE FASYANKES,LPA,STATUS AKREDITASI SAAT INI,NO. SERTIFIKAT AKREDITASI,MASA BERLAKU AKREDITASI,RENCANA SURVEI AKREDITASI (TAHUN),RENCANA SURVEI AKREDITASI (BULAN),SUMBER PENDANAAN,LOGIN KE APLIKASI DFO,LOGIN KE APLIKASI MUTUFASYANKES,LOGIN KE APLIKASI ASPAK,LOGIN KE APLIKASI SISDMK,KETERANGAN,,,,,,,,,,,,,
28,12-01-2021,1232106,Aktif,KLINIK PRATAMA MANDIRI LESTARI,"JL. SUPRIYADI RUKO NO. 21 I, KEL. KALICARI, KEC. PEDURUNGAN, KOTA SEMARANG",Kalicari,Pedurungan,Tlogosari Kulon,445.5/27/DPM-PTSP/IPMDS.27/VI/2020,16/06/2020,16/06/2025,dr.Hifni Hakim Prabowo,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,12-01-2021,1232762,Aktif,KLINIK PRATAMA SOEGIJOPRANOTO BONGSARI,JL. PUSPOWARNO RAYA RT.03/RW.09 BOJONG SALAMAN SEMARANG BARAT,Bojongsalaman,Semarang Barat,Karangayu,9.12E+16,23/01/2024,23/01/2028,dr.Fransisca Meliane S,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300029,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/16356/2023,27 Oktober 2023 s.d 27 Oktober 2028 ,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
30,12-01-2021,1237483,Aktif,KLINIK PRATAMA DWI PUSPITA II,"JL. WOLTER MONGINSIDI NO. 99A, BANJARDOWO",Banjardowo,Genuk,Genuk,8.12002E+16,15/12/2023,15/12/2028,dr.Lina Fathonah,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300030,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),UTAMA, YM.02.01/D/12944/2023,23 Oktober 2023 s.d 23 Oktober 2028 ,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
31,12-01-2021,1237363,Aktif,KLINIK PRATAMA DWI PUSPITA I,"JL. MR SUTAN SYAHRIR NO. 258 RT 001 RW 011, KEMIJEN, SEMARANG TIMUR",Kemijen,Semarang Timur,Karangdoro,8.12002E+16,15/09/2022,15/09/2027,dr.Rose Indah,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300031,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),UTAMA,YM.02.01/D/10559/2023,21 September 2023 s.d 21 September 2028 ,2023,SEPTEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
32,12-01-2021,1231877,Aktif,KLINIK PRATAMA BHAKTI MEDIKA SEJAHTERA,JL BRIGJEND SUDIARTO NO 124,Pandean Lamper ,Gayamsari,Gayamsari,9.12021E+16,"Tuesday, December 5, 2023","Tuesday, December 5, 2028",dr.Sandhi Hapsari Andamari,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300032,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/9303/2023,13 Agustus 2023 s.d 13 Agustus 2028,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
33,12-01-2021,1232761,Aktif,KLINIK PRATAMA MARGO HUSODO,"JL. BOROBUDUR UTARA IV KAV. 1201 RT 02 RW 04, MANYARAN, SEMARANG BARAT, KOTA SEMARANG",Manyaran,Semarang Barat,Manyaran,445.5/17/DPM-PTSP/IPMDS.17/IV/2019,"Monday, February 4, 2019","Sunday, February 4, 2024",dr. Santo Thomas Catur P,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300033,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/16319/2023, 20 November 2023 s.d 20 November 2028 ,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
34,12-01-2021,1233056,Aktif,SETIA HUSADA I,JL. TAMAN SRININDITO V/4 RT 3 RW 4,Trimulyo,Genuk,Genuk,8.12021E+16,31/07/2023,31/07/2028,dr. An-Nisa Maulatifah,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300034,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/13936/2023,02 November 2023 s.d 02 November 2028,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
35,12-01-2021,1234126,Aktif,KLINIK SETIA HUSADA,JL. TRIMULYO RT 01 RW 02 KEL. TRIMULYO KEC. GENUK SEMARANG,Trimulyo,Genuk,Genuk,8.12021E+16,31/07/2023,31/07/2028,dr. An-Nisa Maulatifah,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300035,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/2963/2024, 26 Desember 2023 s.d 26 Desember 2028 ,2023,DESEMBER,,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
36,13-01-2021,1231878,Aktif,KLINIK MULIA HUSADA 1,"JL. NOGOSOSRO NO.22-24, KELURAHAN TLOGOSARI KULON, KECAMATAN PEDURUNGAN, KOTA SEMARANG, JAWA TENGAH",Ngemplak Simongan,Semarang Barat,Ngemplak Simongan,8.12021E+16,21/12/2023,21/12/2028,dr Lina Muwardani,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI) ,UTAMA, YM.02.01/D/16740/2023, 02 Desember 2023 s.d 02 Desember 2028 ,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
37,13-01-2021,1232311,Aktif,KLINIK TENTREM,JL. TEGALSARI NO. 100 RT 10 RW 03 KELURAHAN WONOTINGAL  KECAMATAN CANDISARI KOTA SEMARANG,Wonotinggal,Candisari,Kagok,445.5/43/DPM-PTSP/IPMDS.43/X/2019,22/10/2019,22/10/2024,dr.Silvina,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300037,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/18131/2023,25 November 2023 s.d 25 November 2028 ,2023,OKTOBER,,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
38,13-01-2021,1231888,Aktif,KLINIK DAMAYANTI,JALAN D.I PANJAITAN NO.47 SEMARANG,Miroto,Semarang Tengah,Miroto,2.20207E+15,20/06/2023,20/06/2028,dr. Damajanti Santoso,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300038,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/10627/2023,16 September 2023 s.d 16 September 2028,2023,SEPTEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
39,13-01-2021,1231880,Aktif,CT - KLINIK,"JL. INDRAPRASTA NO.81 A KEL. PENDRIKAN LOR, KEC. SEMARANG TENGAH, KOTA SEMARANG",Pindrikan Lor,Semarang Tengah,Poncol,445.5/7/DPM-PTSP/IKSS.7/III/2021,"Saturday, April 3, 2021","Friday, April 3, 2026",dr.Musrichan MPH SpPD,nan,Non Rawat Inap,Utama,Kota Semarang,JAWA TENGAH,,Tidak,YA,33740300039,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/35464/2024,22 Februari 2024 s.d 22 Februari 2029,,,,,,,,,,,,,,,,,,,,,
