No,EMAIL,TELEPON,KODE KLINIK,NAMA KLINIK,JENIS KLINIK,JENIS PELAYANAN,TANGGAL REGISTRASI,ALAMAT,CAMAT,KAB/KOTA,PROPINSI,PEMILIK,NAMA PEMILIK,PENYELENGGARA,PELAKU USAHA,KERJASAMA BPJS,BERJEJARING PUSKESMAS,PROGRAM PRIORITAS,NAMA PUSKESMAS,KODE BPJS,AKREDITASI
11,kliniknayakahusada03@gmail.com,6.28214E+12,33740300011,Klinik Nayaka Husada 03,Pratama,Non Rawat Inap,12/10/2020,JL. MR. SUTAN SYAHRIR RT.001/RW.003,GENUK,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. NAYAKA ERA HUSADA,Kementerian/Lembaga,Badan Usaha,Ya,Ya,"Hipertensi,Diabetes Melitus",GENUK,173U202,Belum
12,rafael.clinic@yahoo.co.id,8179536497,33740300012,Klinik Rafael,Pratama,Non Rawat Inap,12/10/2020,Jl. Plampitan No. 33,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,"dr. Agnes Christiani., M. K. M",Kementerian/Lembaga,Perorangan,Ya,Ya,"Hipertensi,Diabetes Melitus",PONCOL,0173B016,Belum
13,kliniksanamedika@gmail.com,085102341353_,33740300013,Klinik Pratama Sana Medika,Pratama,Non Rawat Inap,12/10/2020,"Jl.Kedungjati No.26 Randusari, Semarang Selatan, Kota Semarang",SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. BHAKTI MEDIKA SEJAHTERA,Kementerian/Lembaga,Badan Usaha,Ya,Ya,"Hipertensi,Diabetes Melitus",PANDANARAN,1101u154,Belum
14,kembangarum_medica@yahoo.com,85229027177,33740300014,Klinik Kembangarum Medica,Pratama,Non Rawat Inap,12/10/2020,JL. UNTUNG SUROPATI NO. 5 A SEMARANG,NGALIYAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,MERRY HERLINA SARAGIH,Masyarakat/Swasta,Perorangan,Ya,Ya,"Hipertensi,Diabetes Melitus",PURWOYOSO,0173b044,Belum
15,klinik@unika.ac.id,248441555,33740300015,Klinik Pratama Ibu Teresa,Pratama,Non Rawat Inap,12/10/2020,Jl. Pawiyatan Luhur IV / 1 Bendan Duwur Semarang 50234,GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT KLINIK VITA SUPRAMEDIKA,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,PEGANDAN,0173B085,Sudah
16,bp_kusumamedika@yahoo.com,085642077849_,33740300016,Klinik Pratama Kusuma Medika,Pratama,Non Rawat Inap,12/14/2020,JALAN MANGGA NO.1 RT005/002 SRONDOL WETAN BANYUMANIK SEMARANG,BANYUMANIK,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,YAYASAN DINI KUSUMA (DRA. KUSUMASTUTI),Masyarakat/Swasta,Badan Usaha,Ya,Ya,,SRONDOL,0173U435,Belum
17,binasehat.kliniku27@gmail.com,024 3545000,33740300017,KLINIK PRATAMA BINA SEHAT,Pratama,Non Rawat Inap,12/14/2020,JL. KALIMAS RAYA NO. 29 SEMARANG,SEMARANG UTARA,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT BINA SEHAT MEDICAL CENTER,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,BULU LOR,0173B055,Belum
18,grahasyifapatemon@gmail.com,8156681600,33740300018,Klinik Pratama Rawat Inap Graha Syifa,Pratama,Rawat Inap,12/17/2020,"Jl. Talang Bengkok No. 3 RT 05 RW 03 Patemon Gunungpati, Semarang",GUNUNGPATI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"CV MEKAR SALAM (dr. FATHUR NUR KHOLIS, Sp.PD)",Masyarakat/Swasta,Badan Usaha,Ya,Ya,,SEKARAN,0173b045,Sudah
19,cahayabundasmg@gmail.com,82137045968,33740300019,Klinik Pratama Cahaya Bunda,Pratama,Non Rawat Inap,12/29/2020,"Jl. RM. Hadi Soebeno 1/1 Wates, Ngaliyan, Kota Semarang",NGALIYAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV CAHAYA SEHAT,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,NGALIYAN,,Belum
20,mediska.semarang@gmail.com,08122989513__,33740300020,Klinik Mediska Semarang,Pratama,Non Rawat Inap,12/31/2020,JALAN IMAM BONJOL NO. 103 KELURAHAN PURWOSARI,SEMARANG UTARA,Kota Semarang,Jawa Tengah,Kementerian/Lembaga,PT KERETA API INDONESIA (Persero),Kementerian/Lembaga,Badan Hukum Publik,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",BULU LOR,,Belum
21,smugiarti@gmail.com,0818452762___,33740300021,Klinik Mugisehat,Pratama,Non Rawat Inap,1/1/2021,Jl. Jatingaleh III no.37 Rt.02 RW.04 Candisari Semarang,CANDISARI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. Fadhiil Chaniago,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,CANDILAMA,0173B079,Belum
22,klinikekasakti@gmail.com,081229093145_,33740300022,Klinik Eka Sakti,Pratama,Non Rawat Inap,1/2/2021,Jalan Merak No. 3 Tanjungmas,SEMARANG UTARA,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV KRISHNA SAKTI (Arwani Budi Prasetyo),Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",BANDARHARJO,0173U431,Belum
23,klinikpamularsih@gmail.com,8122849228,33740300023,Klinik Pamularsih,Pratama,Non Rawat Inap,1/2/2021,"Jalan Simongan Raya No. 173 D, Ngemplak Simongan, Semarang Barat",SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV Prasyudha Utama,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,NGEMPLAK SIMONGAN,0173U437,Belum
24,umrizal0025@yahoo.co.id,81314626732,33740300024,Klinik Pratama Dwi Puspita Pedurungan,Pratama,Non Rawat Inap,1/6/2021,"Jl. Zebra Tengah No. 58 Rt. 06 Rw. 05 Pedurungan Kidul, Pedurungan Semarang 50192",PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV. DWI PUSPITA MEDIKA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",TELOGOSARI WETAN,0173U430,Belum
25,surmedplamongan@gmail.com,81326313137,33740300025,Klinik Pratama Surya Medika Plamongan,Pratama,Non Rawat Inap,1/7/2021,JL. BRIGJEND SUDIARTO NO. 23A SEMARANG,PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV SURYA MEDIKA ( DR. YUDHANTA SURYADILAGA ),Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",TELOGOSARI WETAN,0173u438,Belum
26,4klinikmardimulya@gmail.com,85329551689,33740300026,KLINIK 24 JAM MARDI MULYA IV,Pratama,Non Rawat Inap,1/7/2021,Jl. Kedungmundu No 11-11A Semarang,CANDISARI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT ADYATMA NUGRAHA LESTARI,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,CANDILAMA,0173B001,Belum
27,mitrahusada12@gmail.com,85643648242,33740300027,Klinik Pratama Mitra Husada,Pratama,Non Rawat Inap,1/12/2021,"Jl. Sendangguwo Raya no. 12, Kel. Gemah Kec. Pedurungan, Kota Semarang",PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. Mega Tunggal (Rudy Wijaya),Masyarakat/Swasta,Badan Usaha,Tidak,Ya,"TB,Hipertensi,Diabetes Melitus",TELOGOSARI KULON,,Belum
28,hanasetia21@gmail.com,246733137,33740300028,Klinik Pratama Mandiri Lestari,Pratama,Non Rawat Inap,1/12/2021,"Jl. Supriyadi Ruko no. 21 i, Kel. Kalicari, Kec. Pedurungan, Kota Semarang",PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. Mega Tunggal (Rudy Wijaya),Masyarakat/Swasta,Badan Usaha,Tidak,Ya,"TB,Hipertensi,Diabetes Melitus",TELOGOSARI KULON,,Belum
29,kliniksoegijopranoto@gmail.com,247606710,33740300029,Klinik Pratama Soegijopranoto Bongsari,Pratama,Non Rawat Inap,1/12/2021,Jl. Puspowarno Raya RT.03/RW.09 Bojong Salaman Semarang Barat,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Yayasan,Yayasan Sosial Eduard Michelis,Kementerian/Lembaga,Badan Hukum,Ya,Ya,TB,KARANG AYU,0173B015,Belum
30,dwipuspita.medika@yahoo.com,81314626732,33740300030,Klinik Pratama Dwi Puspita II,Pratama,Non Rawat Inap,1/12/2021,"Jl. Wolter Monginsidi No. 99A, Banjardowo",GENUK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"CV DWI PUSPITA MEDIKA (YADI FAKHRUZEIN T.J., S.E.,",Masyarakat/Swasta,Badan Usaha,Ya,Ya,,GENUK,0173B022,Belum
31,klinikdwipuspita1@gmail.com,81314626732,33740300031,Klinik Pratama Dwi Puspita I,Pratama,Non Rawat Inap,1/12/2021,"Jl. MR SUTAN SYAHRIR NO. 258 RT 001 RW 011, KEMIJEN, SEMARANG TIMUR",SEMARANG TIMUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV DWI PUSPITA MEDIKA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,KARANG DORO,0173B069,Belum
32,klinikbms998@gmail.com,08156618056__,33740300032,Klinik Pratama Bhakti Medika Sejahtera,Pratama,Non Rawat Inap,1/12/2021,JL BRIGJEND SUDIARTO NO 124,GAYAMSARI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT BHAKTI MEDIKA SEJAHTERA,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,GAYAM SARI,0173U064,Sudah
33,klinikmargohusodo1@gmail.com,81327486935,33740300033,Klinik Pratama Margo Husodo,Pratama,Non Rawat Inap,1/12/2021,"Jl. Borobudur Utara IV Kav. 1201 RT 02 RW 04, Manyaran, Semarang Barat, Kota Semarang",SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV Catur Karya (Santo Thomas Catur Pambudi),Masyarakat/Swasta,Badan Usaha,Ya,Ya,"Hipertensi,Diabetes Melitus",MANYARAN,0173B084,Belum
34,setiahusada1@gmail.com,081329926472_,33740300034,Setia Husada I,Pratama,Non Rawat Inap,1/12/2021,Jl. Taman Srinindito V/4 Rt 3 Rw 4,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Yayasan,Yayasan Setia Husada Semarang ( dr. Hendras Setiaw,Masyarakat/Swasta,Badan Hukum,Ya,Ya,"Hipertensi,Diabetes Melitus",NGEMPLAK SIMONGAN,0173U439,Belum
35,husadasetia@gmail.com,081329926472_/,33740300035,Klinik Setia Husada,Pratama,Non Rawat Inap,1/12/2021,Jl. Trimulyo Rt 01 Rw 02 Kel. Trimulyo Kec. Genuk Semarang,GENUK,Kota Semarang,Jawa Tengah,Yayasan,dr. Hendras Setiawan ( Yayasan Setia Husada Semara,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,GENUK,0173U440,Belum
36,muliahusada1@gmail.com,85876272568,33740300036,Klinik Mulia Husada 1,Pratama,Non Rawat Inap,1/13/2021,"JL. NOGOSOSRO NO.22-24, KELURAHAN TLOGOSARI KULON, KECAMATAN PEDURUNGAN, KOTA SEMARANG, JAWA TENGAH",PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT GATRA SARANA HUSADA,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,TELOGOSARI KULON,0173U427,Belum
37,kliniktentremsemarang@gmail.com,8122965906,33740300037,Klinik Tentrem,Pratama,Non Rawat Inap,1/13/2021,Jl. Tegalsari No. 100 RT 10 RW 03 Kelurahan Wonotingal Kecamatan Candisari Kota Semarang,CANDISARI,Kota Semarang,Jawa Tengah,Perorangan,CV. MITRA SEHAT,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,KAGOK,0173B090,Sudah
38,santosodamajanti@gmail.com,816650427,33740300038,Klinik Damayanti,Pratama,Non Rawat Inap,1/13/2021,Jalan D.I Panjaitan No.47 Semarang,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV BUDI ASIH,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,MIROTO,0173B075,Sudah
39,klinikutamact@gmail.com,024 3556853 ext,33740300039,CT-Klinik,Utama,Non Rawat Inap,1/13/2021,"JL. INDRAPRASTA NO.81 A KEL. PENDRIKAN LOR, KEC. SEMARANG TENGAH, KOTA SEMARANG",SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,"Dr. DYAH ANGGRAENI, M.Kes.,Sp.PK",Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,PONCOL,,Belum
40,kpratamagombel32@gmail.com,8122909646,33740300040,Klinik Pratama Gombel,Pratama,Non Rawat Inap,1/13/2021,JL. TAMAN TEUKU UMAR NO 32 RT 02 RW 04 SEMARANG,BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV. ARHALIM RAHARDJA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",NGESREP,0173b091,Belum
41,klinikrubymedika@gmail.com,08122830849__,33740300041,Klinik Ruby Medika,Pratama,Non Rawat Inap,1/13/2021,"Jl. Potrosari Lap. No. 1, Srondol Kulon Banyumanik Semarang",BANYUMANIK,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV ERBEHA SEHAT SEJAHTERA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",SRONDOL,0173B053,Belum
42,kliniksatmoko01@gmail.com,8112999653,33740300042,Klinik Satmoko,Pratama,Non Rawat Inap,1/13/2021,"Jl. Kelud Raya No.4, Petompon",GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT BHAKTI PUTRA SATMOKO,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,PEGANDAN,0173B010,Sudah
43,klinik.linamedika@gmail.com,81901906245,33740300043,Klinik Pratama Lina Medika,Pratama,Non Rawat Inap,1/13/2021,Jl. Jend Urip Sumoharjo Km.13 No.30 Wonosari,NGALIYAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. Alrin Utama Perkasa,Masyarakat/Swasta,Badan Hukum,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",TAMBAK AJI,0173B040,Belum
44,officepurisaras@gmail.com,85643826471,33740300044,Klinik Pratama Puri Saras,Pratama,Non Rawat Inap,1/13/2021,Jl. Sompok 48,SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT Pratama Puri Saras,Masyarakat/Swasta,Badan Hukum,Ya,Ya,"TB,Hipertensi,Diabetes Melitus,Lainnya",LAMPER TENGAH,0173B081,Belum
45,kliniksrikandi15@gmail.com,0811271981___,33740300045,Klinik Pratama Srikandi,Pratama,Non Rawat Inap,1/13/2021,Jl. Hanoman Dalam No. 03 Krapyak,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,dr. Tuty Suryani (PT Tunas Srikandi Nusantara),Masyarakat/Swasta,Badan Hukum,Ya,Ya,,MANYARAN,0173B052,Sudah
46,harapansejahtera0@gmail.com,082324641865_,33740300046,Klinik Harapan Sejahtera,Pratama,Non Rawat Inap,1/13/2021,JALAN ARUMANIS TIMUR NO 7. TAMBAKAJI NGALIYAN SEMARANG,NGALIYAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,"CV SYIFA HUSADA (ZARKASYI, SE)",Kementerian/Lembaga,Badan Usaha,Ya,Ya,,TAMBAK AJI,0173u434,Sudah
47,klinik_selaras@yahoo.com,8562981156,33740300047,Klinik Pratama Selaras,Pratama,Non Rawat Inap,1/13/2021,JL. SOMPOK BARU 94 SEMARANG,SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV SELARAS,Masyarakat/Swasta,Badan Usaha,Ya,Ya,TB,LAMPER TENGAH,0173U445,Belum
48,klinikmhc2018@gmail.com,82332392910,33740300048,Klinik Mitra Hidup Ceria,Pratama,Non Rawat Inap,1/13/2021,JALAN GEMAH BARAT NO.70 SEMARANG,PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,Edwin Nugroho,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,TELOGOSARI KULON,0173b066,Sudah
49,derlathamrin@gmail.com,8156530390,33740300049,Klinik Pratama Derla,Pratama,Non Rawat Inap,1/13/2021,"Jl MH.Thamrin 74, Kembang Sari, Semarang Tengah, Kota Semarang, Jawa Tengah, 50133",SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. Derla,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,PONCOL,0173B059,Sudah
50,desiprasetyo27@gmail.com,85727567311,33740300050,Klinik Harapan Raharja,Pratama,Non Rawat Inap,1/13/2021,"Jalan Gedung Batu Utara I/30 RT 02 RW 06, Kelurahan Ngemplak Simongan, Kecamatan Semarang Barat, Kota Semarang, Jawa Tengah",SEMARANG BARAT,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT Gatra Sarana Husada,Masyarakat/Swasta,Badan Usaha,Ya,Ya,TB,NGEMPLAK SIMONGAN,0173U433,Belum
51,brimedika.smg@gmail.com,024-6734632,33740300051,Klinik Brimedika,Pratama,Non Rawat Inap,1/13/2021,"Jl. Kedungmundu Raya No. 126, Semarang",TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT UPAYA PURNABHAKTI SEJAHTERA (Tri Raharjo),Masyarakat/Swasta,Badan Hukum,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",KEDUNG MUNDU,0173B027,Belum
52,sumbermaju2015@gmail.com,087832192276_,33740300052,Saka Sasmitra,Pratama,Non Rawat Inap,1/13/2021,RUKO SAKA SQUARE A12 JL. MAJAPAHIT 71-73 PANDEAN LAMPER,GAYAMSARI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV Sumber Maju (dr. NUR RAHMAN),Masyarakat/Swasta,Badan Usaha,Ya,Ya,,GAYAM SARI,0173B043,Sudah
53,larassyifaklinik@gmail.com,08122630948__,33740300053,Klinik Pratama Larassyifa,Pratama,Non Rawat Inap,1/13/2021,"Jl. Taman Belimbing I Blok B7 No 9-10, RT 03/ RW XII, Jatisari, Mijen, Kota Semarang",MIJEN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. BALARADZA KARYA PERKASA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,MIJEN,0173B078,Belum
54,klinikpadepokanganesa@gmail.com,82242983598,33740300054,Klinik Pratama Padepokan Ganesa,Pratama,Non Rawat Inap,1/13/2021,"Padepokan Ganesa Raya II Blok A No. 9-10, Pandeanlamper",GAYAMSARI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV BAKTIR FAM,Masyarakat/Swasta,Badan Usaha,Ya,Tidak,,GAYAM SARI,1735874,Belum
55,klinikpratama15@gmail.com,82173305684,33740300055,Klinik Pratama PKU Muhammadiyah,Pratama,Non Rawat Inap,1/13/2021,"Jl. Raya Lemah Mendak RT 01 RW 06, Mijen",MIJEN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV HERI KLINIK PRATAMA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,MIJEN,0173B046,Sudah
56,klinikameliamedika@gmail.com,089666935708_,33740300056,Klinik Pratama Amelia Medika,Pratama,Non Rawat Inap,1/13/2021,jl. emerald utama blok a 1,TEMBALANG,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV AMELIA SURYA SEJAHTERA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,ROWOSARI,0173B060,Belum
57,indiyahdr@gmail.com,81212990039,33740300057,Klinik Pratama Citra Medika,Pratama,Non Rawat Inap,1/13/2021,JL RATU RATIH II NO 28 TLOGOSARI SEMARANG,PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV CITRA MANDIRI,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",TELOGOSARI KULON,0173b032,Belum
58,ptpratamamedikasehat1@gmail.com,2476740281,33740300058,Klinik Pratama Pratama Medika,Pratama,Non Rawat Inap,1/13/2021,"Jl.Sambiroto Raya No 53 Desa/kelurahan Sambiroto, Kecamatan Tembalang Kota Semarang, Provinsi Jawa Tengah",PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT PRATAMA MEDIKA SEHAT,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,KEDUNG MUNDU,0173b054,Sudah
59,dokkesrestabessemarang@gmail.com,081325750275_,33740300059,Klinik Pratama Polrestabes Semarang,Pratama,Non Rawat Inap,1/13/2021,JL. KALIGARANG NO. 1 RT 004 RW 007,SEMARANG SELATAN,Kota Semarang,Jawa Tengah,POLRI,KAPOLRESTABES SEAMARANG,POLRI,Badan Hukum Publik,Ya,Ya,,PANDANARAN,1730005,Sudah
60,surmedngaliyan@gmail.com,024-7617828,33740300060,Klinik Surya Medika Ngaliyan,Pratama,Non Rawat Inap,1/13/2021,JL. PROF. DR. HAMKA NO 11B PURWOYOSO NGALIYAN SEMARANG,NGALIYAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,dr. Yudhanta Suryadilaga,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,PURWOYOSO,0173U442,Belum
61,klinik.dyahmedika1@gmail.com,(024) 6584341/0,33740300061,Klinik Pratama Dyah Medika 1,Pratama,Non Rawat Inap,1/14/2021,Jl. Woltermonginsidi No 100 Genuksari Genuk Semarang,GENUK,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. SOUTH GUAVA CLINIC,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"Hipertensi,Diabetes Melitus",GENUK,0173B023,Belum
62,evianasutanto@yahoo.com,8122929435,33740300062,Klinik Prima Medika,Pratama,Non Rawat Inap,1/14/2021,JL. PEKUNDEN TIMUR IV NO. 18,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. SEJAHTERA PRIMA MEDIKA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,MIROTO,0173B038,Sudah
63,klinikannisa123@gmail.com,81391388963,33740300063,Klinik Annisa,Pratama,Non Rawat Inap,1/15/2021,"Jl. Beringin Rejo A1 No. 1, Perum Beringin Indah, Ngaliyan, Semarang",NGALIYAN,Kota Semarang,Jawa Tengah,Perorangan,CV KLINIK PRATAMA ANNISA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,NGALIYAN,0173b063,Belum
64,klinikbkd@gmail.com,08122903487__,33740300064,Klinik Pratama BKD Provinsi Jawa Tengah,Pratama,Non Rawat Inap,1/15/2021,"Jalan Stadion Selatan No. 1, Kel. Karangkidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah",SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Pemerintah,BKD Provinsi Jawa Tengah,Pemerintah Daerah,Badan Hukum Publik,Ya,Ya,,MIROTO,1101U176,Belum
